step,task_number,task_name,json_em,bleu_translate,em_sentiment,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,97.2,,,,500,
Step 1,2,json_translation,94.6,,,,500,
Step 1,3,json_translation_sentiment,95.6,,,,500,
Step 1,4,json_translation_sentiment_ner,96.0,,,,500,
Step 2,2,json_translation,94.6,42.725021264529666,,,500,473.0
Step 2,3,json_translation_sentiment,95.6,42.09218650871286,,,500,478.0
Step 2,4,json_translation_sentiment_ner,96.0,41.12249704773293,,,500,480.0
Step 3,3,json_translation_sentiment,95.6,42.09218650871286,89.3305439330544,,500,478.0
Step 3,4,json_translation_sentiment_ner,96.0,41.12249704773293,89.375,,500,480.0
Step 4,4,json_translation_sentiment_ner,96.0,41.12249704773293,89.375,0.0,500,480.0
