step,task_number,task_name,json_em,bleu_review,em_sentiment,em_emotion,em_topic,f1_ner,bleu_translate,total_samples,valid_json_count
Step 1,1,json_only,99.2,89.16005400357024,,,,,,500,496
Step 1,2,json_sentiment,96.8,97.12241581480323,,,,,,500,484
Step 1,3,json_sentiment_emotion,97.0,96.36860109589581,,,,,,500,485
Step 1,4,json_sentiment_emotion_topic,96.8,95.86566508675936,,,,,,500,484
Step 1,5,json_sentiment_emotion_topic_ner,97.0,93.52834578181468,,,,,,500,485
Step 1,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,,,,,,500,484
Step 2,2,json_sentiment,96.8,97.12241581480323,93.18181818181817,,,,,500,484
Step 2,3,json_sentiment_emotion,97.0,96.36860109589581,92.57731958762886,,,,,500,485
Step 2,4,json_sentiment_emotion_topic,96.8,95.86566508675936,91.94214876033058,,,,,500,484
Step 2,5,json_sentiment_emotion_topic_ner,97.0,93.52834578181468,93.19587628865979,,,,,500,485
Step 2,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,93.18181818181817,,,,,500,484
Step 3,3,json_sentiment_emotion,97.0,96.36860109589581,92.57731958762886,44.123711340206185,,,,500,485
Step 3,4,json_sentiment_emotion_topic,96.8,95.86566508675936,91.94214876033058,42.35537190082644,,,,500,484
Step 3,5,json_sentiment_emotion_topic_ner,97.0,93.52834578181468,93.19587628865979,40.618556701030926,,,,500,485
Step 3,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,93.18181818181817,39.87603305785124,,,,500,484
Step 4,4,json_sentiment_emotion_topic,96.8,95.86566508675936,91.94214876033058,42.35537190082644,58.26446280991735,,,500,484
Step 4,5,json_sentiment_emotion_topic_ner,97.0,93.52834578181468,93.19587628865979,40.618556701030926,52.98969072164949,,,500,485
Step 4,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,93.18181818181817,39.87603305785124,51.03305785123967,,,500,484
Step 5,5,json_sentiment_emotion_topic_ner,97.0,93.52834578181468,93.19587628865979,40.618556701030926,52.98969072164949,65.99798623765227,,500,485
Step 5,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,93.18181818181817,39.87603305785124,51.03305785123967,67.71664328193532,,500,484
Step 6,6,json_sentiment_emotion_topic_ner_translation,96.8,94.30787332564095,93.18181818181817,39.87603305785124,51.03305785123967,67.71664328193532,38.27550451356544,500,484
