step,task_number,task_name,json_em,bleu_translate,em_sentiment,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,99.2,,,,500,
Step 1,2,json_translation,96.6,,,,500,
Step 1,3,json_translation_sentiment,96.0,,,,500,
Step 1,4,json_translation_sentiment_ner,97.2,,,,500,
Step 2,2,json_translation,96.6,38.51130845957836,,,500,483.0
Step 2,3,json_translation_sentiment,96.0,38.42997406152222,,,500,480.0
Step 2,4,json_translation_sentiment_ner,97.2,38.3386640769301,,,500,486.0
Step 3,3,json_translation_sentiment,96.0,38.42997406152222,92.91666666666667,,500,480.0
Step 3,4,json_translation_sentiment_ner,97.2,38.3386640769301,92.79835390946502,,500,486.0
Step 4,4,json_translation_sentiment_ner,97.2,38.3386640769301,92.79835390946502,2.674897119341564,500,486.0
