model,task,metric,value
Qwen3 4B,1,json_em,99.0
Qwen3 4B,2,json_em,96.4
Qwen3 4B,2,bleu_translate,38.72926550279424
Qwen3 4B,3,json_em,95.6
Qwen3 4B,3,bleu_translate,38.49393497601179
Qwen3 4B,3,em_sentiment,92.46861924686192
Qwen3 4B,4,json_em,96.4
Qwen3 4B,4,bleu_translate,38.59113625209294
Qwen3 4B,4,em_sentiment,90.66390041493776
Qwen3 4B,4,em_emotion,45.850622406639005
Qwen3 4B,5,json_em,96.4
Qwen3 4B,5,bleu_translate,38.2713112440752
Qwen3 4B,5,em_sentiment,91.701244813278
Qwen3 4B,5,em_emotion,45.64315352697096
Qwen3 4B,5,em_topic,61.20331950207469
Qwen3 4B,6,json_em,96.4
Qwen3 4B,6,bleu_translate,38.09200570541834
Qwen3 4B,6,em_sentiment,91.701244813278
Qwen3 4B,6,em_emotion,42.531120331950206
Qwen3 4B,6,em_topic,57.46887966804979
Qwen3 4B,6,f1_ner,66.53676348032675
Gemma3 4B,1,json_em,96.8
Gemma3 4B,2,json_em,92.8
Gemma3 4B,2,bleu_translate,42.46792513694975
Gemma3 4B,3,json_em,95.0
Gemma3 4B,3,bleu_translate,43.25121405294484
Gemma3 4B,3,em_sentiment,89.05263157894737
Gemma3 4B,4,json_em,95.2
Gemma3 4B,4,bleu_translate,42.13542339664125
Gemma3 4B,4,em_sentiment,89.28571428571429
Gemma3 4B,4,em_emotion,31.09243697478992
Gemma3 4B,5,json_em,95.2
Gemma3 4B,5,bleu_translate,40.658542203228414
Gemma3 4B,5,em_sentiment,90.96638655462183
Gemma3 4B,5,em_emotion,21.638655462184875
Gemma3 4B,5,em_topic,38.445378151260506
Gemma3 4B,6,json_em,93.6
Gemma3 4B,6,bleu_translate,40.44180509548021
Gemma3 4B,6,em_sentiment,89.74358974358975
Gemma3 4B,6,em_emotion,1.4957264957264955
Gemma3 4B,6,em_topic,3.205128205128205
Gemma3 4B,6,f1_ner,62.165501831635495
Llama 3.1 8B,1,json_em,92.6
Llama 3.1 8B,2,json_em,75.6
