Unnamed: 0.1,Unnamed: 0,review,sentiment,entities,json,progressive_index,output
0,434.0,"1st watched 2/9/2008, 4 out of 10(Dir-J.S. Cardone): Sexual political thriller that doesn't really succeed in any of these areas very well except early on where there are some interesting soft-core scenes. The movie starts off portraying a couple exploring their sexual fantasies amidst their work environments or wherever and whatever suits their fancy. The couple takes an excursion to a retreat and bathhouse where they run into a woman that's willing to be a part of a three-some and fulfill some of their fantasies. At this point, we only know that this couple is well off but we don't know until they return that the fiancé is part of a well-to-do political family. The man hopes to be on the rise to the point of possibly getting a congressional seat after the marriage. They then receive a package in the mail from an anonymous source with explicit pictures of their encounter at the bath house and their qwest begins as to how and why they were filmed, who sent the package, what they want, and how to clear their names before any of this gets out. This qwest becomes an obsession that leads them deeper into seedier worlds and takes a lot of their time, to the point where their friends & family wonder what they're doing all day and why they look rundown all the time. This movie is interesting at times but drifts into ridiculousness as they personally seek out the problem instead of getting the police involved early on because of their pride. This mistake, of course, keeps the movie going. The performances are fine despite the no-name cast but the lunacy of the situation overrides and the movie starts to become ho-hum about ½ the way through. And of course, they throw in a twist at the end that defies and challenges everything that happened prior(as is the norm these days when they don't know what else to do to spice up the movie). This doesn't help this movie one bit, though.",negative,"[{'label': 'ORG', 'value': 'qwest'}, {'label': 'ORG', 'value': 'qwest'}]","{""review"": ""1st watched 2/9/2008, 4 out of 10(Dir-J.S. Cardone): Sexual political thriller that doesn't really succeed in any of these areas very well except early on where there are some interesting soft-core scenes. The movie starts off portraying a couple exploring their sexual fantasies amidst their work environments or wherever and whatever suits their fancy. The couple takes an excursion to a retreat and bathhouse where they run into a woman that's willing to be a part of a three-some and fulfill some of their fantasies. At this point, we only know that this couple is well off but we don't know until they return that the fianc\u00e9 is part of a well-to-do political family. The man hopes to be on the rise to the point of possibly getting a congressional seat after the marriage. They then receive a package in the mail from an anonymous source with explicit pictures of their encounter at the bath house and their qwest begins as to how and why they were filmed, who sent the package, what they want, and how to clear their names before any of this gets out. This qwest becomes an obsession that leads them deeper into seedier worlds and takes a lot of their time, to the point where their friends & family wonder what they're doing all day and why they look rundown all the time. This movie is interesting at times but drifts into ridiculousness as they personally seek out the problem instead of getting the police involved early on because of their pride. This mistake, of course, keeps the movie going. The performances are fine despite the no-name cast but the lunacy of the situation overrides and the movie starts to become ho-hum about \u00bd the way through. And of course, they throw in a twist at the end that defies and challenges everything that happened prior(as is the norm these days when they don't know what else to do to spice up the movie). This doesn't help this movie one bit, though."", ""sentiment"": ""negative"", ""entities"": [{""label"": ""ORG"", ""value"": ""qwest""}, {""label"": ""ORG"", ""value"": ""qwest""}]}",435.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""1st watched 2/ninety-eight(Dir-J.S. Cardone): Sexual political thriller that doesn't really succeed in any of these areas very well except early on where there are some interesting soft-core scenes..."",
  ""entities"": [
    {
      ""label"": ""DATE"",
      ""value"": ""2/98""
    },
    {
      ""label"": ""ORG"",
      ""amociation:
        ""date_keywords"": [""1st watched"", ""ninety-eight""],
        ""review_text"": ""Sexual political thriller that doesn't really succeed..."",
        ""entities"": [
          {
            ""label"": ""ORG"",
            ""value"": ""Cardone""
          },
          {
            ""label"": ""DATE"",
            ""value"": ""2/98""
          }
        ],
        ""sentiment_score"": -0.65  # Example sentiment score indicating negative sentiment (not provided by the system)
      }
    }
  ]
}
```"
1,3278.0,"Following on directly from the last episode of the previous series Yes Minister.<br /><br />Jim Hacker now finds himself inside Number 10 Downing Street as Prime Minister of Great Britain, instead of a Cabinet Minister and a member of the government, he is now leading Her Majesty's Government.<br /><br />All this after some scheming maneuvers by Sir Humphrey Appleby after the previous Prime Minister resigned at the end of Yes Minister. <br /><br />Sir Humphrey Appleby is now the head of the Civil Service.<br /><br />I thought that this series was better than the first series, or though it did not last as long as the first series unfortunately.",positive,"[{'label': 'PERSON', 'value': 'Hacker'}, {'label': 'ORG', 'value': 'Cabinet'}, {'label': 'PERSON', 'value': 'Humphrey Appleby'}, {'label': 'PERSON', 'value': 'Humphrey Appleby'}, {'label': 'ORG', 'value': 'the Civil Service.<br'}]","{""review"": ""Following on directly from the last episode of the previous series Yes Minister.<br /><br />Jim Hacker now finds himself inside Number 10 Downing Street as Prime Minister of Great Britain, instead of a Cabinet Minister and a member of the government, he is now leading Her Majesty's Government.<br /><br />All this after some scheming maneuvers by Sir Humphrey Appleby after the previous Prime Minister resigned at the end of Yes Minister. <br /><br />Sir Humphrey Appleby is now the head of the Civil Service.<br /><br />I thought that this series was better than the first series, or though it did not last as long as the first series unfortunately."", ""sentiment"": ""positive"", ""entities"": [{""label"": ""PERSON"", ""value"": ""Hacker""}, {""label"": ""ORG"", ""value"": ""Cabinet""}, {""label"": ""PERSON"", ""value"": ""Humphrey Appleby""}, {""label"": ""PERSON"", ""value"": ""Humphrey Appleby""}, {""label"": ""ORG"", ""value"": ""the Civil Service.<br""}]}",3279.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""But at least this movie got what it deserved - to be sent to the Satellite of Love to be ridiculed on by Mike, Tom Servo, and Crow T. Robot from Pearl Forrester on \""Mystery Science Theater 3000!\"" \""Soultaker\"" is one of those long lost, forgotten movies that are so bad you'll be guaranteed to have nightmares or depression later on in life. Even though the movie is not that old, it's still a very forgotten type of movie. If it had never been for the intelligent minds at \""Mystery Science Theater 3000,\"" the movie would not only seem like it was never made, but the movie wouldn't be very enjoyable by us moviegoers."",
  ""entities"": [
    {
      ""label"": ""ORG"",
      ""value"": ""Mystery Science Theater 3000""
    },
    {
      ""label"": ""PERSON"",
      ""value"": ""Pearl Forrester""
    }
  ]
}
```"
2,967.0,"But at least this movie got what it deserved - to be sent to the Satellite of Love to be ridiculed on by Mike, Tom Servo, and Crow T. Robot from Pearl Forrester on ""Mystery Science Theater 3000!"" ""Soultaker"" is one of those long lost, forgotten movies that are so bad you'll be guaranteed to have nightmares or depression later on in life. Even though the movie is not that old, it's still a very forgotten type of movie. If it had never been for the intelligent minds at ""Mystery Science Theater 3000,"" the movie would not only seem like it was never made, but the movie wouldn't be very enjoyable by us moviegoers.<br /><br />In real life: this movie is really bad. In the Satellite of Love: this movie is excellent!",negative,"[{'label': 'PERSON', 'value': 'Mike'}, {'label': 'PERSON', 'value': 'Tom Servo'}, {'label': 'PERSON', 'value': 'Crow T. Robot'}, {'label': 'ORG', 'value': 'Pearl Forrester'}]","{""review"": ""But at least this movie got what it deserved - to be sent to the Satellite of Love to be ridiculed on by Mike, Tom Servo, and Crow T. Robot from Pearl Forrester on \""Mystery Science Theater 3000!\"" \""Soultaker\"" is one of those long lost, forgotten movies that are so bad you'll be guaranteed to have nightmares or depression later on in life. Even though the movie is not that old, it's still a very forgotten type of movie. If it had never been for the intelligent minds at \""Mystery Science Theater 3000,\"" the movie would not only seem like it was never made, but the movie wouldn't be very enjoyable by us moviegoers.<br /><br />In real life: this movie is really bad. In the Satellite of Love: this movie is excellent!"", ""sentiment"": ""negative"", ""entities"": [{""label"": ""PERSON"", ""value"": ""Mike""}, {""label"": ""PERSON"", ""value"": ""Tom Servo""}, {""label"": ""PERSON"", ""value"": ""Crow T. Robot""}, {""label"": ""ORG"", ""value"": ""Pearl Forrester""}]}",968.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""A few buddies and myself have the strange hobby of seeking out really horrendous and utterly obscure (for a good reason) horror flicks... But it was about time to wrap it up."",
  ""entities"": []
}
```"
3,1982.0,"A few buddies and myself have the strange hobby of seeking out really horrendous and utterly obscure (for a good reason) horror flicks and then subsequently watching them under the influence of mind-broadening consumer goods like alcohol and/or soft drugs. Surely a lot of people do this, but they watch movies like the ""Godzilla"" remake, whereas we torment our eyes and brains with stuff like ""The Loch Ness Horror"". And, eureka, this is a prototypic bad movie! We open traditionally, with bag pipes music during the opening credits. This is, of course, to emphasize extra to us dumb viewers that the story is supposed to take place in the Scottish highlights and not in director Larry Buchanan's birthplace Texas. For that exact same reason, the cast members are seemingly also instructed to overact tremendously and talk with talk with atrocious accents. The American marine biologist Prof. George Sanderson arrives in Loch Ness with some brand new and highly sophisticated sonar equipment to track down the whereabouts of the legendary monster in the lake. Meanwhile, there are many other parties hanging around the lake, like a group of kids on a Science Camp (what a boring way to spend your vacation), retired army generals looking for a Luftwaffe plane that crashed in the lake during WWII and a bunch of thieves and failed scientists that are steeling the monster's egg. You would think that these numerous sub plots bring some diversity and excitement in the plot, but unfortunately that's not the case. ""Loch Ness Horror"" is an overall boring flick with only a couple of noteworthy elements. The monster itself, for example, is a delightfully cheesy creation with cute eyes and a smoky breath. His teeth also glow in the dark, which is quite useful when you're dumb enough to go out on a boat ride in the middle of the night. Near the end of the film, the remaining cast members were more interested in the lost Luftwaffe plane than in the monster, so it was about time to wrap it up. ""Loch Ness Horror"" is carefully recommended in case you're a fan of bad B-movies from the 80's, but be advised that it contains an overload of senseless dialogs and a bizarrely rushed ending that makes it look as if the film suddenly ran out of budget.",negative,"[{'label': 'PERSON', 'value': 'Larry Buchanan'}, {'label': 'PERSON', 'value': 'George Sanderson'}, {'label': 'LOC', 'value': 'Loch Ness'}, {'label': 'ORG', 'value': 'a Science Camp'}, {'label': 'ORG', 'value': 'Luftwaffe'}, {'label': 'ORG', 'value': 'Luftwaffe'}]","{""review"": ""A few buddies and myself have the strange hobby of seeking out really horrendous and utterly obscure (for a good reason) horror flicks and then subsequently watching them under the influence of mind-broadening consumer goods like alcohol and/or soft drugs. Surely a lot of people do this, but they watch movies like the \""Godzilla\"" remake, whereas we torment our eyes and brains with stuff like \""The Loch Ness Horror\"". And, eureka, this is a prototypic bad movie! We open traditionally, with bag pipes music during the opening credits. This is, of course, to emphasize extra to us dumb viewers that the story is supposed to take place in the Scottish highlights and not in director Larry Buchanan's birthplace Texas. For that exact same reason, the cast members are seemingly also instructed to overact tremendously and talk with talk with atrocious accents. The American marine biologist Prof. George Sanderson arrives in Loch Ness with some brand new and highly sophisticated sonar equipment to track down the whereabouts of the legendary monster in the lake. Meanwhile, there are many other parties hanging around the lake, like a group of kids on a Science Camp (what a boring way to spend your vacation), retired army generals looking for a Luftwaffe plane that crashed in the lake during WWII and a bunch of thieves and failed scientists that are steeling the monster's egg. You would think that these numerous sub plots bring some diversity and excitement in the plot, but unfortunately that's not the case. \""Loch Ness Horror\"" is an overall boring flick with only a couple of noteworthy elements. The monster itself, for example, is a delightfully cheesy creation with cute eyes and a smoky breath. His teeth also glow in the dark, which is quite useful when you're dumb enough to go out on a boat ride in the middle of the night. Near the end of the film, the remaining cast members were more interested in the lost Luftwaffe plane than in the monster, so it was about time to wrap it up. \""Loch Ness Horror\"" is carefully recommended in case you're a fan of bad B-movies from the 80's, but be advised that it contains an overload of senseless dialogs and a bizarrely rushed ending that makes it look as if the film suddenly ran out of budget."", ""sentiment"": ""negative"", ""entities"": [{""label"": ""PERSON"", ""value"": ""Larry Buchanan""}, {""label"": ""PERSON"", ""value"": ""George Sanderson""}, {""label"": ""LOC"", ""value"": ""Loch Ness""}, {""label"": ""ORG"", ""value"": ""a Science Camp""}, {""label"": ""ORG"", ""value"": ""Luftwaffe""}, {""label"": ""ORG"", ""value"": ""Luftwaffe""}]}",1983.0," ```json
{
  ""sentiment"": ""positive"",
  ""review"": ""I found this movie to be much better than what I was expecting. There is lots of action and lots of blood. It's more or less what you would expect from a creature feature. The acting isn't great but it's passable. I have certainly seen worse. Overall, it'amo an enjoyable movie for what it is. A good popcorn movie."",
  ""entities"": [
    {
      ""label"": ""LOC"",
      ""value"": ""Iraq""
    },
    {
      ""label"": ""LOC"",
      ""value"": ""Chechnya""
    }
  ]
}
```"
4,2902.0,On a routine mission in Iraq a group of Delta soldiers recover a computer hard drive from an Alqueda training camp detailing the location of weapons specialist Dr Walsh. After witnessing the termination of his top secret weapons development program Dr Walsh finds an alternative funding source and sets up a new research facility deep in the notorious Belzan forest in Chechnya where he is developing weapons and selling them to Chechnyan rebels.The team of Deltas is sent on a black ops mission to retrieve the doctor and his technology before the Russians find him and his lab.What the Delta team soon discover is that the doctors latest weapons is a flock of large carnivorous bats that have been genetically altered to develop a taste for human flesh. I found this movie to be much better than what I was expecting.There is lots of action and lots of blood. Its more or less what you would expect from a creature feature. The acting isn't great but its passable. I have certainly seen worse.Overall its an enjoyable movie for what it is. A good popcorn movie.,positive,"[{'label': 'ORG', 'value': 'Delta'}, {'label': 'PERSON', 'value': 'Walsh'}, {'label': 'PERSON', 'value': 'Walsh'}, {'label': 'LOC', 'value': 'Belzan'}, {'label': 'ORG', 'value': 'Deltas'}, {'label': 'LOC', 'value': 'Delta'}]","{""review"": ""On a routine mission in Iraq a group of Delta soldiers recover a computer hard drive from an Alqueda training camp detailing the location of weapons specialist Dr Walsh. After witnessing the termination of his top secret weapons development program Dr Walsh finds an alternative funding source and sets up a new research facility deep in the notorious Belzan forest in Chechnya where he is developing weapons and selling them to Chechnyan rebels.The team of Deltas is sent on a black ops mission to retrieve the doctor and his technology before the Russians find him and his lab.What the Delta team soon discover is that the doctors latest weapons is a flock of large carnivorous bats that have been genetically altered to develop a taste for human flesh. I found this movie to be much better than what I was expecting.There is lots of action and lots of blood. Its more or less what you would expect from a creature feature. The acting isn't great but its passable. I have certainly seen worse.Overall its an enjoyable movie for what it is. A good popcorn movie."", ""sentiment"": ""positive"", ""entities"": [{""label"": ""ORG"", ""value"": ""Delta""}, {""label"": ""PERSON"", ""value"": ""Walsh""}, {""label"": ""PERSON"", ""value"": ""Walsh""}, {""label"": ""LOC"", ""value"": ""Belzan""}, {""label"": ""ORG"", ""value"": ""Deltas""}, {""label"": ""LOC"", ""value"": ""Delta""}]}",2903.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""Mildly entertaining and self consciously cheezy -- but what else could it possibly be? Cushing in one of his poorest roles, and he often sounds dubbed. McClve is just too Cheezy to be believed, but who can blame him in the wasteland of this movie whose plot about ancient dinosaur birds ruling humans has 19th Century throwback 'period charm,' but not enough and unfortunately the script carries the racist connotations of the literary genre into films. Nice effort from the actors, but a poorly conceived production."",
  ""entities"": []
}
```"
5,4132.0,"Mildly entertaining and self consciously cheezy -- but what else could it possibly be? Cushing in one of his poorest roles, and he often sounds dubbed. McClure is just too Cheezy to be believed, but who can blame him in the wasteland of this movie whose plot about ancient dinosaur birds ruling humans has 19th Century throwback ""period charm,"" but not enough and unfortunately the script carries the racist connotations of the literary genre into films. Nice effort from the actors, but a poorly conceived production.",negative,"[{'label': 'PERSON', 'value': 'McClure'}]","{""review"": ""Mildly entertaining and self consciously cheezy -- but what else could it possibly be? Cushing in one of his poorest roles, and he often sounds dubbed. McClure is just too Cheezy to be believed, but who can blame him in the wasteland of this movie whose plot about ancient dinosaur birds ruling humans has 19th Century throwback \""period charm,\"" but not enough and unfortunately the script carries the racist connotations of the literary genre into films. Nice effort from the actors, but a poorly conceived production."", ""sentiment"": ""negative"", ""entities"": [{""label"": ""PERSON"", ""value"": ""McClure""}]}",4133.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""Style but no substance. Not as funny as it should be. Not as deep as it wants to be.<br /><br />This is another in the genre of films about the difficulties of filmmaking. A young filmaker is hired to finish a campy ˈ60s sci-fi movie called Codename:Dragonfly. Think Barbarella, or Danger Diabolique.<br /><br />But Jeremy Davies is an angst-ridden filmmaker. He's no hack he's an artist. The movie he wants to make is a diary of his life. Hardly original.<br /><br />All the characters outside of Jeremy Davies filmmaker are as thin as rice-paper. Characters that might be interesting, such as his father, his doppelganger, or Jason Schwarzmann as a hack director are introduced and then shown the door without adding a thing.<br /><br />This movie is full of eye candy but when compared to other films about filmmakers such as Stardust Memories or 8 1/2 it pales in comparison. Those movies are funny, provocative with well-developed characters. Those movies have lessons that apply outside<br /><br />The movie wants to be comic and campy but its just derivative and there is not one funny scene. The filmmakers describe it as a send-up but what's the satirical target? The actors say it's an homage but I think I would rather a full-length version of Codename:Dragonfly.<br /><br />Coppola is clearly amused by the setting as is evident by the visual humor of the sci-fi movie within a movie. But he fails to share why we should be amused.<br /><br />Outside of the sci-fi movie its just a mess. There are continuity errors, the filmmaker chooses a sci-fi weapon after its already been chosen. What?<br /><br />Just because he has a scene were the filmmaker is confronted by the critics complaining about the lack of story, lack of a point, a scene where he admits empty cleverness does not mean that he has addressed those criticisms.<br /><br />I guess if your Roman Coppola you can get away with making a movie about an angst-ridden idealistic filmmaker who doesn't know what he wants to say and so ends up saying nothing. In that sense it may be considered autobiograhical.<br /><br />I would watch it at Circuit City on a wall full of TVs if I had a choice. Watch the 15-minute Codename:Dragonfly movies included on the DVD as extras and then send it back."",
  ""entities"": []
}
```"
6,3766.0,"Style but no substance. Not as funny as it should be. Not as deep as it wants to be.<br /><br />This is another in the genre of films about the difficulties of filmmaking. A young filmaker is hired to finish a campy 60s sci-fi movie called Codename:Dragonfly. Think Barbarella, or Danger Diabolique.<br /><br />But Jeremy Davies is an angst-ridden filmmaker. He's no hack he's an artist. The movie he wants to make is a diary of his life. Hardly original.<br /><br />All the characters outside of Jeremy Davies filmmaker are as thin as rice-paper. Characters that might be interesting, such as his father, his doppelganger, or Jason Schwarzmann as a hack director are introduced and then shown the door without adding a thing.<br /><br />This movie is full of eye candy but when compared to other films about filmmakers such as Stardust Memories or 8 1/2 it pales in comparison. Those movies are funny, provocative with well-developed characters. Those movies have lessons that apply outside<br /><br />The movie wants to be comic and campy but its just derivative and there is not one funny scene. The filmmakers describe it as a send-up but what's the satirical target? The actors say it's an homage but I think I would rather a full-length version of Codename:Dragonfly.<br /><br />Coppola is clearly amused by the setting as is evident by the visual humor of the sci-fi movie within a movie. But he fails to share why we should be amused.<br /><br />Outside of the sci-fi movie its just a mess. There are continuity errors, the filmmaker chooses a sci-fi weapon after its already been chosen. What?<br /><br />Just because he has a scene were the filmmaker is confronted by the critics complaining about the lack of story, lack of a point, a scene where he admits empty cleverness does not mean that he has addressed those criticisms.<br /><br />I guess if your Roman Coppola you can get away with making a movie about an angst-ridden idealistic filmmaker who doesn't know what he wants to say and so ends up saying nothing. In that sense it may be considered autobiograhical.<br /><br />I would watch it at Circuit City on a wall full of TVs if I had a choice. Watch the 15-minute Codename:Dragonfly movies included on the DVD as extras and then send it back.",negative,"[{'label': 'PERSON', 'value': 'Barbarella'}, {'label': 'PERSON', 'value': 'Jeremy Davies'}, {'label': 'PERSON', 'value': 'Jeremy Davies'}, {'label': 'PERSON', 'value': 'Jason Schwarzmann'}, {'label': 'PERSON', 'value': '/>Coppola'}, {'label': 'PERSON', 'value': 'Roman Coppola'}]","{""review"": ""Style but no substance. Not as funny as it should be. Not as deep as it wants to be.<br /><br />This is another in the genre of films about the difficulties of filmmaking. A young filmaker is hired to finish a campy 60s sci-fi movie called Codename:Dragonfly. Think Barbarella, or Danger Diabolique.<br /><br />But Jeremy Davies is an angst-ridden filmmaker. He's no hack he's an artist. The movie he wants to make is a diary of his life. Hardly original.<br /><br />All the characters outside of Jeremy Davies filmmaker are as thin as rice-paper. Characters that might be interesting, such as his father, his doppelganger, or Jason Schwarzmann as a hack director are introduced and then shown the door without adding a thing.<br /><br />This movie is full of eye candy but when compared to other films about filmmakers such as Stardust Memories or 8 1/2 it pales in comparison. Those movies are funny, provocative with well-developed characters. Those movies have lessons that apply outside<br /><br />The movie wants to be comic and campy but its just derivative and there is not one funny scene. The filmmakers describe it as a send-up but what's the satirical target? The actors say it's an homage but I think I would rather a full-length version of Codename:Dragonfly.<br /><br />Coppola is clearly amused by the setting as is evident by the visual humor of the sci-fi movie within a movie. But he fails to share why we should be amused.<br /><br />Outside of the sci-fi movie its just a mess. There are continuity errors, the filmmaker chooses a sci-fi weapon after its already been chosen. What?<br /><br />Just because he has a scene were the filmmaker is confronted by the critics complaining about the lack of story, lack of a point, a scene where he admits empty cleverness does not mean that he has addressed those criticisms.<br /><br />I guess if your Roman Coppola you can get away with making a movie about an angst-ridden idealistic filmmaker who doesn't know what he wants to say and so ends up saying nothing. In that sense it may be considered autobiograhical.<br /><br />I would watch it at Circuit City on a wall full of TVs if I had a choice. Watch the 15-minute Codename:Dragonfly movies included on the DVD as extras and then send it back."", ""sentiment"": ""negative"", ""entities"": [{""label"": ""PERSON"", ""value"": ""Barbarella""}, {""label"": ""PERSON"", ""value"": ""Jeremy Davies""}, {""label"": ""PERSON"", ""value"": ""Jeremy Davies""}, {""label"": ""PERSON"", ""value"": ""Jason Schwarzmann""}, {""label"": ""PERSON"", ""value"": ""/>Coppola""}, {""label"": ""PERSON"", ""value"": ""Roman Coppola""}]}",3767.0," ```json
{
  ""sentiment"": ""positive"",
  ""review"": ""Long trailer? whoever said that has got to be joking. This has got to be one of the most in-depth behind-the-scenes or making-of documentaries ever made. How can it be a trailer when several minutes are spent telling the audience how the movie was conceptualized and then brought to the studios? This documentary also spends lots and lots of time detailing how stunn
  ""entities"": [
    {
      ""label"": ""MISC"",
      ""value"": ""Matrix""
    },
    {
      ""label"": ""PERSON"",
      ""지원되지 않는다""
    },
    {
      ""label"": ""ORG"",
      ""value"": ""Woo-Ping's team""
    }
  ]
}
```"
7,520.0,"Long trailer? whoever said that has got to be joking. this has got to be one of the most in depth behind the scenes or making of documentary ever made. how can it be a trailer when several minutes are spent telling the audience how the movie was conceptualized and then brought to the studios? this documentary also spends lots and lots of time detailing how stunts were done and the new technologies created to achieve them. then it shows us how woo ping's team came up with the fight scenes along with blocking tapes that pretty much put to shame the actual scenes with the actors. there is stuff mentioned about matrix reloaded, but there's hardly anything really. if you are a real fan of the matrix, you have to see this documentary. the original documentary in the dvd is good, but incomplete compared to this one. for instance, it never explained why keanu wore a neck brace in the original documentary, but that is explained in Revisited. the Revisited dvd also shows carrie ann moss spraining her ankle during the lobby scene and being really distraught because she feels like she's letting the crew down. and that's just the tip of the iceberg. so ignore that ""just a long trailer"" review and go check it out for yourself. you won't regret it. casual matrix fans need not apply...",positive,"[{'label': 'ORG', 'value': ""woo ping's""}, {'label': 'PERSON', 'value': 'keanu'}, {'label': 'PERSON', 'value': 'carrie ann moss'}]","{""review"": ""Long trailer? whoever said that has got to be joking. this has got to be one of the most in depth behind the scenes or making of documentary ever made. how can it be a trailer when several minutes are spent telling the audience how the movie was conceptualized and then brought to the studios? this documentary also spends lots and lots of time detailing how stunts were done and the new technologies created to achieve them. then it shows us how woo ping's team came up with the fight scenes along with blocking tapes that pretty much put to shame the actual scenes with the actors. there is stuff mentioned about matrix reloaded, but there's hardly anything really. if you are a real fan of the matrix, you have to see this documentary. the original documentary in the dvd is good, but incomplete compared to this one. for instance, it never explained why keanu wore a neck brace in the original documentary, but that is explained in Revisited. the Revisited dvd also shows carrie ann moss spraining her ankle during the lobby scene and being really distraught because she feels like she's letting the crew down. and that's just the tip of the iceberg. so ignore that \""just a long trailer\"" review and go check it out for yourself. you won't regret it. casual matrix fans need not apply..."", ""sentiment"": ""positive"", ""entities"": [{""label"": ""ORG"", ""value"": ""woo ping's""}, {""label"": ""PERSON"", ""value"": ""keanu""}, {""label"": ""PERSON"", ""value"": ""carrie ann moss""}]}",521.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""I checked this out at the Vancouver International Film Festival and was not impressed.<br /><br />The only area of the film I enjoyed was the commentary on film-making. For the most part, this film seemed random and somewhat fantastical (I don't say that in a complimentary way, however) and just silly. It was as if he was mixing fantasy with everyday life, which may sounds intriguing in some films, but the fantasy merely seemed needlessly perverse.<br /><br />My criticism of this film is not upon the actors, rather the story itself. I found it boring and narcissistic. I wanted my money back, but considering it was a Film Festival, that wasn't about to happen."",
  ""entities"": [
    {
      ""label"": ""LOC"",
      ""value"": ""Vancouver""
    }
  ]
}
```"
8,2404.0,"I checked this out at the Vancouver International Film Festival and was not impressed.<br /><br />The only area of the film I enjoyed was the commentary on film-making. For the most part, this film seemed random and somewhat fantastical (I don't say that in a complimentary way, however) and just silly. It was as if he was mixing fantasy with everyday life, which may sounds intriguing in some films, but the fantasy merely seemed needlessly perverse.<br /><br />My criticism of this film is not upon the actors, rather the story itself. I found it boring and narcissistic. I wanted my money back, but considering it was a Film Festival, that wasn't about to happen.",negative,[],"{""review"": ""I checked this out at the Vancouver International Film Festival and was not impressed.<br /><br />The only area of the film I enjoyed was the commentary on film-making. For the most part, this film seemed random and somewhat fantastical (I don't say that in a complimentary way, however) and just silly. It was as if he was mixing fantasy with everyday life, which may sounds intriguing in some films, but the fantasy merely seemed needlessly perverse.<br /><br />My criticism of this film is not upon the actors, rather the story itself. I found it boring and narcissistic. I wanted my money back, but considering it was a Film Festival, that wasn't about to happen."", ""sentiment"": ""negative"", ""entities"": []}",2405.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""I bought it at the video store. Second: I watched it. Third: It was boring. Fourth: It was not funnny. Fifth: Most of the antics were lame. And last, but not least: It's not only a bad movie, it's a total fiasco. I am a huge Adam Sandler fan despite this disappointing and forgotten film. I pity it because it was his first movie. Even if you are a huge Adam Sandler fan, don't bother watching this movie. Instead, just take the video, board a yacht, and throw it overboard."",
  ""entities"": [
    {
      ""label"": ""PERSON"",
      ""value"": ""Adam Sandler""
    }
  ]
}
```"
9,2113.0,"First: I bought it at the video store. Second: I watched it. Third: It was boring. Fourth: It was not funny. Fifth: Most of the antics were lame. And last, but not least: It's not only a bad movie, it's a total fiasco.<br /><br />I am a huge Adam Sandler fan despite this disappointing and forgotten film. I pity it because it was his first movie. Even if you are a huge Adam Sandler fan, don't bother watching this movie. Instead, just take the video, board a yacht, and throw it overboard.",negative,"[{'label': 'PERSON', 'value': 'Adam Sandler'}, {'label': 'PERSON', 'value': 'Adam Sandler'}]","{""review"": ""First: I bought it at the video store. Second: I watched it. Third: It was boring. Fourth: It was not funny. Fifth: Most of the antics were lame. And last, but not least: It's not only a bad movie, it's a total fiasco.<br /><br />I am a huge Adam Sandler fan despite this disappointing and forgotten film. I pity it because it was his first movie. Even if you are a huge Adam Sandler fan, don't bother watching this movie. Instead, just take the video, board a yacht, and throw it overboard."", ""sentiment"": ""negative"", ""entities"": [{""label"": ""PERSON"", ""value"": ""Adam Sandler""}, {""label"": ""PERSON"", ""value"": ""Adam Sandler""}]}",2114.0," ```json
{
  ""sentiment"": ""negative"",
  ""review"": ""A very disappointing film from Oliver Stone which, unlike his recent epic 'J.F.K.', fails to stimulate any sort of real emotion. \""Talk Radio\"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom just want to ring up and abuse him..."",
  ""entities"": [
    {
      ""label"": ""PERSON"",
      ""value"": ""Oliver Stone""
    },
    {
      ""label"": ""ORG"",
      ""value"": ""Talk Radio""
    },
    {
      ""label"": ""PERSON"",
      ""ve value"": ""Barry Champlain""
    }
  ]
}
```"
